step,total_magnetization_bohr_cell
1,140.81
2,130.03
3,131.17
4,130.27
5,129.69
6,123.39
7,116.17
8,95.61
9,94.0
10,93.02
11,93.5
12,92.58
13,92.26
14,92.23
15,92.01
16,91.2
17,90.77
18,91.03
19,90.84
20,90.8
21,90.44
22,89.88
23,89.83
24,89.85
25,89.73
26,89.51
27,89.45
28,89.38
29,89.44
30,89.56
31,89.59
32,89.62
33,89.7
34,89.8
35,89.86
36,89.94
37,90.02
38,90.04
39,90.05
40,90.06
41,90.08
42,90.09
43,90.12
44,90.15
45,90.16
46,90.16
47,90.17
48,90.17
49,90.17
50,90.17
51,90.17
52,90.17
53,90.17
54,90.17
55,90.17
56,90.16
57,90.16
58,90.15
59,90.15
60,90.15
61,90.15
62,90.15
63,90.14
64,90.14
65,90.14
66,90.14
67,90.14
68,90.13
69,90.13
70,90.13
71,90.13
72,90.13
73,90.12
74,90.12
75,90.12
76,90.12
77,90.12
78,90.12
79,90.12
80,90.11
81,90.11
82,90.11
83,90.11
84,90.11
85,90.11
86,90.11
87,90.11
88,90.11
89,90.11
90,90.11
91,90.11
1,90.11
2,90.11
3,90.11
4,90.11
5,90.11
6,90.11
7,90.11
8,90.11
9,90.11
10,90.11
11,90.11
1,90.11
2,90.11
3,90.11
4,90.11
5,90.11
6,90.11
7,90.11
8,90.11
9,90.11
10,90.11
11,90.11
12,90.11
13,90.11
14,90.11
15,90.11
16,90.11
17,90.11
18,90.11
19,90.11
20,90.11
21,90.11
22,90.11
23,90.11
24,90.11
25,90.11
26,90.11
27,90.11
28,90.11
29,90.11
1,90.11
2,90.11
3,90.11
4,90.11
5,90.11
6,90.11
7,90.11
8,90.11
9,90.11
10,90.11
11,90.11
12,90.11
13,90.11
14,90.11
15,90.11
16,90.11
17,90.11
18,90.11
19,90.11
20,90.11
21,90.11
22,90.11
23,90.11
24,90.11
25,90.11
26,90.11
27,90.11
28,90.11
1,90.11
2,90.11
3,90.11
4,90.11
5,90.11
6,90.11
7,90.11
8,90.11
9,90.11
10,90.11
11,90.11
12,90.11
13,90.11
14,90.11
15,90.11
16,90.11
17,90.11
18,90.11
19,90.11
20,90.11
21,90.11
22,90.11
23,90.11
24,90.11
25,90.11
26,90.11
27,90.11
28,90.11
29,90.11
30,90.11
31,90.11
1,90.11
2,90.11
3,90.11
4,90.11
5,90.11
6,90.11
7,90.11
8,90.11
9,90.11
10,90.11
11,90.11
12,90.11
13,90.11
14,90.11
15,90.11
16,90.11
17,90.11
18,90.11
19,90.11
20,90.11
21,90.11
22,90.11
23,90.11
24,90.11
25,90.11
26,90.11
27,90.11
1,90.11
2,90.11
3,90.11
4,90.11
5,90.11
6,90.11
7,90.11
8,90.11
9,90.11
10,90.11
11,90.11
12,90.11
13,90.11
14,90.11
15,90.11
16,90.11
17,90.11
18,90.11
19,90.11
20,90.11
21,90.11
22,90.11
23,90.11
24,90.11
25,90.11
26,90.11
27,90.11
1,90.11
2,90.11
3,90.11
4,90.11
5,90.11
6,90.11
7,90.11
8,90.11
9,90.11
10,90.11
11,90.11
12,90.11
13,90.11
14,90.11
15,90.11
16,90.11
17,90.11
18,90.11
19,90.11
20,90.11
21,90.11
22,90.11
23,90.11
24,90.11
25,90.11
26,90.11
27,90.11
28,90.11
1,90.11
2,90.11
3,90.11
4,90.11
5,90.11
6,90.11
7,90.11
8,90.11
9,90.11
10,90.11
11,90.11
12,90.11
13,90.11
14,90.11
15,90.11
16,90.11
17,90.11
18,90.11
19,90.11
20,90.11
21,90.11
22,90.11
